merchant_id,category,city_tier,acquisition_channel,device_type,state,cohort_month_index,gst_registered,slow_settlement,competitor_density,onboarded_month,onboarded_before_window
MID100186,pharmacy,tier_2,field_sales,qr_static,Kerala,-18,True,False,0.4941,2024-08,True
MID100187,kirana,tier_1,field_sales,qr_static,Gujarat,6,True,False,0.7466,2025-02,False
MID100188,pharmacy,tier_3,field_sales,qr_static,Andhra Pradesh,-28,True,False,0.3269,2024-08,True
MID100189,fuel,tier_2,field_sales,qr_static,Uttar Pradesh,4,False,False,0.6296,2024-12,False
MID100190,apparel,tier_2,self_serve,soundbox,West Bengal,-25,True,False,0.711,2024-08,True
MID100191,apparel,tier_3,self_serve,soundbox,West Bengal,13,True,False,0.2807,2025-09,False
MID100192,kirana,tier_1,referral,soundbox,Bihar,-23,False,False,0.8236,2024-08,True
MID100193,electronics,tier_3,field_sales,soundbox,Assam,-22,False,False,0.3978,2024-08,True
MID100194,kirana,tier_1,field_sales,qr_dynamic,West Bengal,-16,True,False,0.8243,2024-08,True
MID100195,restaurant,tier_2,field_sales,qr_static,Uttar Pradesh,11,False,False,0.5803,2025-07,False
MID100196,grocery,tier_3,field_sales,soundbox,West Bengal,6,False,False,0.2586,2025-02,False
MID100197,services,tier_3,field_sales,soundbox,Kerala,-14,False,False,0.2566,2024-08,True
MID100198,fuel,tier_3,partner_bank,soundbox,Telangana,-19,False,False,0.0823,2024-08,True
MID100199,kirana,tier_2,self_serve,soundbox,Andhra Pradesh,-23,False,False,0.5271,2024-08,True
MID100200,apparel,tier_3,referral,qr_static,Karnataka,-24,False,True,0.3581,2024-08,True
MID100201,restaurant,tier_3,self_serve,qr_static,Uttar Pradesh,9,True,True,0.2787,2025-05,False
MID100202,electronics,tier_1,field_sales,qr_dynamic,Karnataka,-5,False,False,0.7392,2024-08,True
MID100203,salon,tier_1,field_sales,soundbox,Uttar Pradesh,7,True,False,0.7132,2025-03,False
MID100204,electronics,tier_3,self_serve,soundbox,Rajasthan,21,False,False,0.4188,2026-05,False
MID100205,grocery,tier_1,self_serve,qr_static,Kerala,17,False,False,0.9182,2026-01,False
MID100206,apparel,tier_2,referral,soundbox,Maharashtra,19,False,False,0.4672,2026-03,False
MID100207,restaurant,tier_2,field_sales,qr_dynamic,West Bengal,-10,False,False,0.6491,2024-08,True
MID100208,kirana,tier_1,referral,soundbox,Gujarat,-19,False,False,0.9,2024-08,True
MID100209,pharmacy,tier_3,field_sales,qr_static,Maharashtra,-3,True,False,0.254,2024-08,True
MID100210,salon,tier_2,partner_bank,qr_static,Maharashtra,-3,True,False,0.5903,2024-08,True
MID100211,kirana,tier_3,field_sales,pos,Uttar Pradesh,-29,False,False,0.3207,2024-08,True
MID100212,restaurant,tier_3,referral,soundbox,Uttar Pradesh,-17,False,False,0.3885,2024-08,True
MID100213,kirana,tier_1,partner_bank,qr_static,Uttar Pradesh,14,True,False,0.7007,2025-10,False
MID100214,services,tier_1,field_sales,soundbox,West Bengal,10,False,False,0.9653,2025-06,False
MID100215,pharmacy,tier_3,self_serve,qr_dynamic,Tamil Nadu,-24,True,False,0.3801,2024-08,True
MID100216,restaurant,tier_3,field_sales,qr_static,Uttar Pradesh,5,False,False,0.3231,2025-01,False
MID100217,salon,tier_1,referral,soundbox,Telangana,-10,True,False,0.8118,2024-08,True
MID100218,kirana,tier_2,field_sales,qr_static,Maharashtra,1,False,False,0.6103,2024-09,False
MID100219,fuel,tier_3,partner_bank,soundbox,Uttar Pradesh,-1,False,False,0.3956,2024-08,True
MID100220,restaurant,tier_2,field_sales,qr_static,Madhya Pradesh,4,False,False,0.4738,2024-12,False
MID100221,restaurant,tier_3,field_sales,qr_static,Telangana,-26,True,False,0.4764,2024-08,True
MID100222,grocery,tier_2,referral,qr_dynamic,West Bengal,-26,False,False,0.6957,2024-08,True
MID100223,apparel,tier_3,referral,qr_static,West Bengal,7,False,False,0.1911,2025-03,False
MID100224,kirana,tier_3,self_serve,qr_static,Madhya Pradesh,7,False,True,0.4402,2025-03,False
MID100225,salon,tier_1,field_sales,qr_static,Uttar Pradesh,-18,False,False,0.9097,2024-08,True
MID100226,restaurant,tier_1,field_sales,qr_static,Maharashtra,-29,True,True,0.9206,2024-08,True
MID100227,apparel,tier_2,referral,qr_static,Madhya Pradesh,-28,False,True,0.7739,2024-08,True
MID100228,fuel,tier_1,self_serve,soundbox,Andhra Pradesh,-24,True,False,0.7506,2024-08,True
MID100229,services,tier_3,field_sales,qr_static,Andhra Pradesh,0,False,False,0.2353,2024-08,False
MID100230,electronics,tier_3,self_serve,soundbox,West Bengal,-19,False,True,0.2666,2024-08,True
MID100231,restaurant,tier_1,field_sales,qr_static,Uttar Pradesh,15,True,True,0.7463,2025-11,False
MID100232,apparel,tier_1,self_serve,soundbox,Haryana,17,True,False,0.7306,2026-01,False
MID100233,restaurant,tier_2,referral,qr_static,Karnataka,17,False,False,0.6071,2026-01,False
MID100234,restaurant,tier_1,partner_bank,qr_static,Gujarat,-29,True,False,0.7887,2024-08,True
MID100235,salon,tier_1,self_serve,qr_dynamic,Gujarat,-18,True,False,0.7594,2024-08,True
MID100236,pharmacy,tier_3,self_serve,pos,Tamil Nadu,17,True,False,0.3289,2026-01,False
MID100237,restaurant,tier_3,field_sales,soundbox,Madhya Pradesh,-26,False,False,0.5076,2024-08,True
MID100238,grocery,tier_2,referral,qr_static,Karnataka,-18,True,False,0.4355,2024-08,True
MID100239,grocery,tier_1,field_sales,qr_static,Karnataka,7,True,False,0.8081,2025-03,False
MID100240,grocery,tier_1,field_sales,qr_static,Maharashtra,16,False,False,0.872,2025-12,False
MID100241,apparel,tier_3,field_sales,pos,Kerala,-12,True,False,0.2656,2024-08,True
MID100242,kirana,tier_2,field_sales,qr_static,Maharashtra,-28,True,False,0.5891,2024-08,True
MID100243,grocery,tier_2,self_serve,soundbox,Bihar,-27,True,False,0.6768,2024-08,True
MID100244,electronics,tier_3,self_serve,qr_dynamic,Maharashtra,-27,True,False,0.4998,2024-08,True
MID100245,electronics,tier_3,field_sales,qr_static,Tamil Nadu,1,False,False,0.3031,2024-09,False
MID100246,kirana,tier_3,self_serve,soundbox,Uttar Pradesh,-10,False,False,0.3188,2024-08,True
MID100247,kirana,tier_3,referral,qr_dynamic,Uttar Pradesh,9,False,False,0.3246,2025-05,False
MID100248,apparel,tier_3,self_serve,qr_dynamic,Uttar Pradesh,-12,False,False,0.4265,2024-08,True
MID100249,restaurant,tier_2,field_sales,qr_static,West Bengal,15,False,False,0.5183,2025-11,False
MID100250,kirana,tier_2,referral,qr_static,Odisha,5,True,False,0.5821,2025-01,False
MID100251,kirana,tier_2,referral,soundbox,Gujarat,17,False,True,0.7586,2026-01,False
MID100252,grocery,tier_3,self_serve,soundbox,Karnataka,-14,False,False,0.3135,2024-08,True
MID100253,electronics,tier_2,partner_bank,soundbox,Karnataka,-2,False,False,0.6038,2024-08,True
MID100254,restaurant,tier_1,field_sales,qr_dynamic,Maharashtra,0,True,False,0.887,2024-08,False
MID100255,grocery,tier_1,field_sales,qr_static,Karnataka,1,True,False,0.9349,2024-09,False
MID100256,apparel,tier_3,partner_bank,soundbox,Karnataka,-10,False,False,0.2766,2024-08,True
MID100257,pharmacy,tier_3,field_sales,qr_static,Kerala,-14,False,False,0.4104,2024-08,True
MID100258,grocery,tier_3,partner_bank,pos,Gujarat,-12,False,False,0.152,2024-08,True
MID100259,kirana,tier_1,field_sales,qr_static,Madhya Pradesh,11,True,False,0.8884,2025-07,False
MID100260,fuel,tier_2,referral,qr_dynamic,Gujarat,-25,False,False,0.6654,2024-08,True
MID100261,restaurant,tier_3,field_sales,soundbox,Punjab,15,False,False,0.3445,2025-11,False
MID100262,grocery,tier_3,partner_bank,qr_dynamic,Maharashtra,-3,False,False,0.4041,2024-08,True
MID100263,electronics,tier_2,referral,qr_static,Tamil Nadu,4,True,False,0.7052,2024-12,False
MID100264,salon,tier_1,partner_bank,soundbox,Maharashtra,-7,True,False,0.8175,2024-08,True
MID100265,pharmacy,tier_3,self_serve,pos,Madhya Pradesh,-19,False,False,0.3326,2024-08,True
MID100266,pharmacy,tier_2,self_serve,qr_static,Bihar,19,False,False,0.5845,2026-03,False
MID100267,grocery,tier_1,field_sales,soundbox,West Bengal,-15,False,False,0.8224,2024-08,True
MID100268,kirana,tier_2,self_serve,soundbox,Uttar Pradesh,16,False,False,0.5053,2025-12,False
MID100269,grocery,tier_1,field_sales,soundbox,Uttar Pradesh,-17,True,True,0.7433,2024-08,True
MID100270,pharmacy,tier_2,partner_bank,qr_static,Uttar Pradesh,-26,True,False,0.6068,2024-08,True
MID100271,restaurant,tier_1,field_sales,soundbox,Punjab,-10,False,True,0.8111,2024-08,True
MID100272,salon,tier_1,self_serve,qr_static,Odisha,16,True,False,0.8282,2025-12,False
MID100273,grocery,tier_2,partner_bank,qr_dynamic,Uttar Pradesh,-8,True,False,0.6405,2024-08,True
MID100274,fuel,tier_3,self_serve,soundbox,Maharashtra,-1,False,False,0.2337,2024-08,True
MID100275,services,tier_1,referral,qr_static,Maharashtra,0,False,False,0.8216,2024-08,False
MID100276,services,tier_2,self_serve,qr_static,Tamil Nadu,2,False,False,0.6396,2024-10,False
MID100277,restaurant,tier_3,field_sales,qr_static,Uttar Pradesh,13,False,False,0.4688,2025-09,False
