txn_id,merchant_id,txn_ts,amount_inr,issuer_bank,status,failure_reason
200,MID100006,2024-08-20 16:27:05,482.53,HDFC,SUCCESS,
201,MID100006,2024-08-05 13:39:49,1396.39,HDFC,SUCCESS,
202,MID100006,2024-08-21 19:48:06,1054.98,HDFC,SUCCESS,
203,MID100006,2024-08-28 18:08:48,446.34,HDFC,SUCCESS,
204,MID100006,2024-08-25 12:08:33,388.92,HDFC,SUCCESS,
205,MID100006,2024-08-24 21:48:54,431.05,HDFC,SUCCESS,
206,MID100006,2024-08-14 09:48:30,364.47,SBI,SUCCESS,
207,MID100006,2024-08-23 10:41:57,604.39,SBI,SUCCESS,
208,MID100006,2024-08-13 17:54:17,1024.01,SBI,SUCCESS,
209,MID100006,2024-08-04 12:38:30,580.39,SBI,SUCCESS,
210,MID100006,2024-08-10 20:46:16,175.55,SBI,FAILED,USER_CANCELLED
211,MID100006,2024-08-25 20:01:39,367.85,SBI,SUCCESS,
212,MID100006,2024-08-01 19:52:59,72.94,SBI,SUCCESS,
213,MID100006,2024-08-21 10:30:53,1890.14,SBI,SUCCESS,
214,MID100006,2024-08-18 14:00:02,522.5,SBI,SUCCESS,
215,MID100006,2024-08-25 21:30:05,186.69,SBI,SUCCESS,
216,MID100006,2024-08-19 14:50:26,496.33,SBI,SUCCESS,
217,MID100006,2024-08-12 18:35:13,290.83,SBI,SUCCESS,
218,MID100006,2024-08-21 05:07:29,646.55,SBI,SUCCESS,
219,MID100006,2024-08-14 01:29:54,155.47,SBI,SUCCESS,
220,MID100006,2024-08-26 09:58:00,415.66,SBI,SUCCESS,
221,MID100006,2024-08-14 23:34:20,675.99,SBI,SUCCESS,
222,MID100006,2024-08-06 14:49:03,328.61,SBI,SUCCESS,
223,MID100006,2024-08-26 17:22:11,246.61,SBI,SUCCESS,
224,MID100006,2024-08-15 07:34:09,307.65,ICICI,SUCCESS,
225,MID100006,2024-08-23 14:07:58,199.15,ICICI,SUCCESS,
226,MID100006,2024-08-10 09:08:12,207.82,ICICI,SUCCESS,
227,MID100006,2024-08-10 19:01:49,716.05,ICICI,FAILED,INSUFFICIENT_FUNDS
228,MID100006,2024-08-02 20:19:24,929.3,ICICI,SUCCESS,
229,MID100006,2024-08-07 08:16:03,1036.56,ICICI,SUCCESS,
230,MID100006,2024-08-15 16:48:55,414.08,ICICI,SUCCESS,
231,MID100006,2024-08-21 15:29:31,857.46,ICICI,SUCCESS,
232,MID100006,2024-08-25 20:16:04,369.75,ICICI,SUCCESS,
233,MID100006,2024-08-10 10:06:08,540.9,ICICI,SUCCESS,
234,MID100006,2024-08-04 19:24:02,410.29,ICICI,SUCCESS,
235,MID100006,2024-08-21 10:20:41,701.68,ICICI,SUCCESS,
236,MID100006,2024-08-26 17:01:39,291.44,ICICI,SUCCESS,
237,MID100006,2024-08-21 13:29:27,348.48,ICICI,SUCCESS,
238,MID100006,2024-08-30 17:25:09,295.24,AXIS,SUCCESS,
239,MID100006,2024-08-18 18:56:38,262.27,AXIS,SUCCESS,
240,MID100006,2024-08-17 09:05:29,300.6,AXIS,SUCCESS,
241,MID100006,2024-08-31 17:00:37,71.1,AXIS,SUCCESS,
242,MID100006,2024-08-17 22:34:44,300.1,KOTAK,SUCCESS,
243,MID100006,2024-08-07 08:09:39,301.44,KOTAK,SUCCESS,
244,MID100006,2024-08-30 12:12:40,214.62,BOB,SUCCESS,
245,MID100006,2024-08-30 17:06:49,239.18,BOB,SUCCESS,
246,MID100006,2024-08-29 13:28:23,253.46,BOB,SUCCESS,
247,MID100006,2024-08-18 15:29:45,152.49,CANARA,SUCCESS,
248,MID100006,2024-08-23 13:17:28,273.69,CANARA,SUCCESS,
249,MID100006,2024-08-01 18:39:26,386.22,IDFC,SUCCESS,
250,MID100006,2024-08-25 06:41:19,95.44,PAYTM_PB,SUCCESS,
251,MID100006,2024-08-03 15:15:10,304.7,PAYTM_PB,SUCCESS,
252,MID100006,2024-08-06 18:32:09,249.39,RRB_GRAMIN,SUCCESS,
253,MID100006,2024-08-22 19:17:21,424.5,RRB_GRAMIN,SUCCESS,
254,MID100006,2024-08-06 22:46:25,409.72,RRB_GRAMIN,SUCCESS,
255,MID100006,2024-08-20 16:31:25,408.46,RRB_GRAMIN,SUCCESS,
256,MID100006,2024-08-18 07:03:04,175.88,RRB_GRAMIN,FAILED,TIMEOUT
257,MID100006,2024-08-21 01:37:08,437.96,RRB_GRAMIN,SUCCESS,
258,MID100007,2024-08-04 07:03:34,410.95,HDFC,SUCCESS,
259,MID100007,2024-08-21 10:22:52,46.03,HDFC,SUCCESS,
260,MID100007,2024-08-18 20:08:05,83.55,KOTAK,SUCCESS,
261,MID100007,2024-08-26 08:50:12,615.17,PNB,SUCCESS,
262,MID100007,2024-08-31 15:02:40,7.03,UNION,SUCCESS,
263,MID100007,2024-08-13 14:18:11,38.35,IDFC,SUCCESS,
264,MID100008,2024-08-18 09:36:54,268.18,HDFC,SUCCESS,
265,MID100008,2024-08-21 21:13:36,128.24,HDFC,FAILED,INCORRECT_PIN
266,MID100008,2024-08-11 17:08:54,108.7,SBI,SUCCESS,
267,MID100008,2024-08-15 14:34:49,180.15,ICICI,SUCCESS,
268,MID100008,2024-08-15 21:01:26,64.79,ICICI,SUCCESS,
269,MID100008,2024-08-02 19:21:01,52.61,ICICI,SUCCESS,
270,MID100008,2024-08-01 19:59:47,60.97,ICICI,SUCCESS,
271,MID100008,2024-08-13 10:05:58,37.48,ICICI,SUCCESS,
272,MID100008,2024-08-15 13:13:43,498.14,ICICI,SUCCESS,
273,MID100008,2024-08-13 19:19:22,242.9,AXIS,SUCCESS,
274,MID100008,2024-08-14 10:51:59,141.4,AXIS,SUCCESS,
275,MID100008,2024-08-11 16:23:19,215.08,AXIS,SUCCESS,
276,MID100008,2024-08-17 14:12:00,68.83,AXIS,SUCCESS,
277,MID100008,2024-08-08 15:07:02,467.7,AXIS,SUCCESS,
278,MID100008,2024-08-10 18:48:17,306.98,AXIS,SUCCESS,
279,MID100008,2024-08-04 11:22:06,305.79,AXIS,SUCCESS,
280,MID100008,2024-08-07 19:00:17,96.16,KOTAK,SUCCESS,
281,MID100008,2024-08-29 19:15:23,216.79,KOTAK,SUCCESS,
282,MID100008,2024-08-21 15:44:18,146.11,KOTAK,SUCCESS,
283,MID100008,2024-08-18 09:46:28,260.15,KOTAK,SUCCESS,
284,MID100008,2024-08-24 16:42:37,141.82,KOTAK,SUCCESS,
285,MID100008,2024-08-14 10:10:39,110.25,PNB,SUCCESS,
286,MID100008,2024-08-01 10:28:43,214.33,BOB,SUCCESS,
287,MID100008,2024-08-01 02:59:31,359.13,CANARA,SUCCESS,
288,MID100008,2024-08-03 09:35:08,124.44,CANARA,SUCCESS,
289,MID100008,2024-08-05 17:39:11,143.47,CANARA,SUCCESS,
290,MID100008,2024-08-04 11:21:47,167.51,UNION,SUCCESS,
291,MID100008,2024-08-04 22:43:35,223.52,UNION,SUCCESS,
292,MID100008,2024-08-14 11:28:52,426.25,UNION,SUCCESS,
293,MID100008,2024-08-27 13:20:38,133.62,UNION,SUCCESS,
294,MID100008,2024-08-11 15:56:59,196.94,UNION,SUCCESS,
295,MID100008,2024-08-20 17:18:58,181.11,YES,SUCCESS,
296,MID100008,2024-08-17 08:37:58,540.95,IDFC,SUCCESS,
297,MID100008,2024-08-22 10:47:12,82.99,IDFC,SUCCESS,
298,MID100014,2024-08-22 12:45:42,343.77,HDFC,SUCCESS,
299,MID100014,2024-08-17 18:45:30,342.91,SBI,SUCCESS,
300,MID100014,2024-08-22 17:26:59,375.51,SBI,SUCCESS,
301,MID100014,2024-08-06 11:55:59,491.56,SBI,SUCCESS,
302,MID100014,2024-08-20 14:06:06,591.97,SBI,SUCCESS,
303,MID100014,2024-08-28 20:26:36,227.74,SBI,SUCCESS,
304,MID100014,2024-08-25 20:49:45,144.46,SBI,SUCCESS,
305,MID100014,2024-08-22 13:08:21,548.44,SBI,SUCCESS,
306,MID100014,2024-08-27 22:36:16,265.83,SBI,SUCCESS,
307,MID100014,2024-08-25 12:33:43,671.07,SBI,SUCCESS,
308,MID100014,2024-08-11 17:49:04,411.91,SBI,SUCCESS,
309,MID100014,2024-08-05 19:20:49,669.2,SBI,SUCCESS,
310,MID100014,2024-08-01 12:31:34,878.67,SBI,SUCCESS,
311,MID100014,2024-08-10 22:15:33,481.83,SBI,SUCCESS,
312,MID100014,2024-08-20 16:58:14,706.8,SBI,SUCCESS,
313,MID100014,2024-08-09 18:49:22,261.61,SBI,SUCCESS,
314,MID100014,2024-08-29 11:42:06,213.08,SBI,SUCCESS,
315,MID100014,2024-08-24 13:11:49,115.87,SBI,SUCCESS,
316,MID100014,2024-08-27 19:15:08,771.12,SBI,SUCCESS,
317,MID100014,2024-08-05 21:25:13,273.41,SBI,SUCCESS,
318,MID100014,2024-08-31 13:44:18,177.21,SBI,SUCCESS,
319,MID100014,2024-08-20 22:11:44,256.89,SBI,SUCCESS,
320,MID100014,2024-08-19 12:57:21,113.95,SBI,SUCCESS,
321,MID100014,2024-08-13 16:08:39,130.19,SBI,SUCCESS,
322,MID100014,2024-08-28 14:16:54,138.35,SBI,FAILED,INSUFFICIENT_FUNDS
323,MID100014,2024-08-27 03:11:58,273.5,SBI,SUCCESS,
324,MID100014,2024-08-06 17:21:34,90.61,SBI,SUCCESS,
325,MID100014,2024-08-25 11:16:13,245.08,SBI,SUCCESS,
326,MID100014,2024-08-06 20:23:51,120.56,SBI,SUCCESS,
327,MID100014,2024-08-15 11:03:52,220.33,SBI,SUCCESS,
328,MID100014,2024-08-04 19:56:14,397.91,SBI,SUCCESS,
329,MID100014,2024-08-04 08:53:45,134.7,SBI,SUCCESS,
330,MID100014,2024-08-02 02:57:42,519.59,ICICI,SUCCESS,
331,MID100014,2024-08-10 12:41:14,151.39,AXIS,FAILED,INCORRECT_PIN
332,MID100014,2024-08-18 10:51:51,479.76,KOTAK,SUCCESS,
333,MID100014,2024-08-04 19:22:15,678.92,KOTAK,SUCCESS,
334,MID100014,2024-08-26 09:52:15,292.81,PNB,SUCCESS,
335,MID100014,2024-08-27 18:16:39,258.44,PNB,SUCCESS,
336,MID100014,2024-08-07 18:16:15,378.28,PNB,SUCCESS,
337,MID100014,2024-08-17 21:42:54,595.73,PNB,SUCCESS,
338,MID100014,2024-08-25 20:10:12,523.57,PNB,SUCCESS,
339,MID100014,2024-08-26 12:36:31,21.92,PNB,FAILED,INSUFFICIENT_FUNDS
340,MID100014,2024-08-15 20:49:03,603.68,PNB,SUCCESS,
341,MID100014,2024-08-04 08:03:03,226.57,PNB,SUCCESS,
342,MID100014,2024-08-29 16:19:22,468.53,PNB,SUCCESS,
343,MID100014,2024-08-28 11:46:08,70.83,BOB,SUCCESS,
344,MID100014,2024-08-08 20:14:05,277.45,BOB,FAILED,INSUFFICIENT_FUNDS
345,MID100014,2024-08-24 20:07:32,636.3,BOB,SUCCESS,
346,MID100014,2024-08-01 10:24:39,383.81,CANARA,SUCCESS,
347,MID100014,2024-08-08 12:28:21,182.63,CANARA,SUCCESS,
348,MID100014,2024-08-22 21:47:32,122.33,CANARA,SUCCESS,
349,MID100014,2024-08-11 13:14:53,223.72,CANARA,SUCCESS,
350,MID100014,2024-08-29 06:59:40,233.38,CANARA,SUCCESS,
351,MID100014,2024-08-31 10:36:07,319.86,CANARA,SUCCESS,
352,MID100014,2024-08-07 17:34:05,149.95,CANARA,SUCCESS,
353,MID100014,2024-08-02 12:28:08,128.85,CANARA,SUCCESS,
354,MID100014,2024-08-22 18:05:43,109.68,CANARA,SUCCESS,
355,MID100014,2024-08-19 20:15:19,245.53,CANARA,SUCCESS,
356,MID100014,2024-08-05 11:34:29,368.81,CANARA,SUCCESS,
357,MID100014,2024-08-23 12:59:41,175.34,UNION,SUCCESS,
358,MID100014,2024-08-24 18:12:05,242.34,IDFC,SUCCESS,
359,MID100014,2024-08-18 20:13:30,403.77,IDFC,SUCCESS,
360,MID100014,2024-08-01 11:05:49,655.67,IDFC,SUCCESS,
361,MID100014,2024-08-09 15:08:43,536.13,IDFC,SUCCESS,
362,MID100014,2024-08-29 19:29:03,266.59,IDFC,SUCCESS,
363,MID100014,2024-08-25 20:03:11,40.81,IDFC,SUCCESS,
364,MID100014,2024-08-29 20:01:08,792.71,IDFC,SUCCESS,
365,MID100014,2024-08-01 19:55:35,432.13,IDFC,SUCCESS,
366,MID100014,2024-08-18 15:48:31,140.87,IDFC,SUCCESS,
367,MID100014,2024-08-26 17:42:51,54.87,AU_SFB,SUCCESS,
368,MID100014,2024-08-09 23:03:05,74.49,AU_SFB,SUCCESS,
369,MID100014,2024-08-08 09:23:27,319.53,AU_SFB,SUCCESS,
370,MID100014,2024-08-28 14:16:44,180.78,AU_SFB,SUCCESS,
371,MID100014,2024-08-29 17:04:23,209.78,AU_SFB,SUCCESS,
