cohort_month,activity_month,month_index,cohort_size,active_merchants,logo_retention,tpv_inr,tpv_retention
2025-04-01,2026-01-01,9,121,81,0.6694,1516868.58,1.2149
2025-04-01,2026-02-01,10,121,83,0.686,1412158.15,1.1311
2025-04-01,2026-03-01,11,121,81,0.6694,1605733.48,1.2861
2025-04-01,2026-04-01,12,121,82,0.6777,1605625.5,1.286
2025-04-01,2026-05-01,13,121,86,0.7107,1681983.72,1.3472
2025-04-01,2026-06-01,14,121,82,0.6777,1531718.27,1.2268
2025-04-01,2026-07-01,15,121,82,0.6777,1620603.73,1.298
2025-05-01,2025-05-01,0,127,127,1.0,1533404.15,1.0
2025-05-01,2025-06-01,1,127,117,0.9213,1626225.9,1.0605
2025-05-01,2025-07-01,2,127,109,0.8583,1734278.8,1.131
2025-05-01,2025-08-01,3,127,99,0.7795,1997011.28,1.3023
2025-05-01,2025-09-01,4,127,94,0.7402,2375412.4,1.5491
2025-05-01,2025-10-01,5,127,97,0.7638,2769380.72,1.806
2025-05-01,2025-11-01,6,127,93,0.7323,2599491.05,1.6952
2025-05-01,2025-12-01,7,127,87,0.685,2253262.72,1.4695
2025-05-01,2026-01-01,8,127,91,0.7165,2035357.5,1.3273
2025-05-01,2026-02-01,9,127,87,0.685,1998961.51,1.3036
2025-05-01,2026-03-01,10,127,85,0.6693,2532000.43,1.6512
2025-05-01,2026-04-01,11,127,83,0.6535,2222886.2,1.4496
2025-05-01,2026-05-01,12,127,86,0.6772,2248797.12,1.4665
2025-05-01,2026-06-01,13,127,82,0.6457,2003563.64,1.3066
2025-05-01,2026-07-01,14,127,84,0.6614,1972309.81,1.2862
2025-06-01,2025-06-01,0,136,136,1.0,1935381.96,1.0
2025-06-01,2025-07-01,1,136,122,0.8971,1902749.49,0.9831
2025-06-01,2025-08-01,2,136,112,0.8235,2193063.53,1.1331
2025-06-01,2025-09-01,3,136,101,0.7426,2480091.97,1.2814
2025-06-01,2025-10-01,4,136,96,0.7059,3255741.51,1.6822
2025-06-01,2025-11-01,5,136,92,0.6765,3034705.08,1.568
2025-06-01,2025-12-01,6,136,90,0.6618,2547719.44,1.3164
2025-06-01,2026-01-01,7,136,89,0.6544,2495479.72,1.2894
2025-06-01,2026-02-01,8,136,91,0.6691,2455750.34,1.2689
2025-06-01,2026-03-01,9,136,91,0.6691,2687984.68,1.3889
2025-06-01,2026-04-01,10,136,95,0.6985,2759492.1,1.4258
2025-06-01,2026-05-01,11,136,97,0.7132,2737137.01,1.4143
2025-06-01,2026-06-01,12,136,89,0.6544,2637532.96,1.3628
2025-06-01,2026-07-01,13,136,89,0.6544,2383582.23,1.2316
2025-07-01,2025-07-01,0,127,127,1.0,2194373.71,1.0
2025-07-01,2025-08-01,1,127,117,0.9213,2546408.27,1.1604
2025-07-01,2025-09-01,2,127,109,0.8583,3189396.57,1.4534
2025-07-01,2025-10-01,3,127,97,0.7638,4001305.12,1.8234
2025-07-01,2025-11-01,4,127,97,0.7638,4290114.11,1.9551
2025-07-01,2025-12-01,5,127,96,0.7559,3600771.24,1.6409
2025-07-01,2026-01-01,6,127,92,0.7244,3103324.28,1.4142
2025-07-01,2026-02-01,7,127,88,0.6929,2954448.33,1.3464
2025-07-01,2026-03-01,8,127,88,0.6929,3615419.79,1.6476
2025-07-01,2026-04-01,9,127,88,0.6929,3420247.73,1.5586
2025-07-01,2026-05-01,10,127,91,0.7165,3469189.46,1.5809
2025-07-01,2026-06-01,11,127,87,0.685,3216324.51,1.4657
2025-07-01,2026-07-01,12,127,88,0.6929,3148661.88,1.4349
2025-08-01,2025-08-01,0,118,118,1.0,1360792.86,1.0
2025-08-01,2025-09-01,1,118,111,0.9407,1719648.43,1.2637
2025-08-01,2025-10-01,2,118,97,0.822,2391742.5,1.7576
2025-08-01,2025-11-01,3,118,86,0.7288,2104087.54,1.5462
2025-08-01,2025-12-01,4,118,78,0.661,2034712.79,1.4952
2025-08-01,2026-01-01,5,118,75,0.6356,1865319.41,1.3708
2025-08-01,2026-02-01,6,118,78,0.661,1751683.99,1.2873
2025-08-01,2026-03-01,7,118,81,0.6864,2019843.45,1.4843
2025-08-01,2026-04-01,8,118,76,0.6441,2040164.9,1.4992
2025-08-01,2026-05-01,9,118,72,0.6102,1797264.74,1.3207
2025-08-01,2026-06-01,10,118,74,0.6271,1534725.45,1.1278
2025-08-01,2026-07-01,11,118,73,0.6186,1566263.29,1.151
2025-09-01,2025-09-01,0,109,109,1.0,1427948.52,1.0
2025-09-01,2025-10-01,1,109,97,0.8899,1915875.57,1.3417
2025-09-01,2025-11-01,2,109,92,0.844,2122493.25,1.4864
2025-09-01,2025-12-01,3,109,83,0.7615,2109802.22,1.4775
2025-09-01,2026-01-01,4,109,80,0.7339,1965201.09,1.3762
2025-09-01,2026-02-01,5,109,79,0.7248,1975062.7,1.3831
2025-09-01,2026-03-01,6,109,77,0.7064,2174168.29,1.5226
2025-09-01,2026-04-01,7,109,74,0.6789,1931080.02,1.3523
2025-09-01,2026-05-01,8,109,72,0.6606,1833288.12,1.2839
2025-09-01,2026-06-01,9,109,71,0.6514,1739629.76,1.2183
2025-09-01,2026-07-01,10,109,75,0.6881,1725492.39,1.2084
2025-10-01,2025-10-01,0,108,108,1.0,1700555.76,1.0
2025-10-01,2025-11-01,1,108,93,0.8611,1749356.78,1.0287
2025-10-01,2025-12-01,2,108,86,0.7963,1605130.39,0.9439
2025-10-01,2026-01-01,3,108,78,0.7222,1528358.17,0.8987
2025-10-01,2026-02-01,4,108,77,0.713,1742437.15,1.0246
2025-10-01,2026-03-01,5,108,74,0.6852,2032355.98,1.1951
2025-10-01,2026-04-01,6,108,73,0.6759,1841181.24,1.0827
2025-10-01,2026-05-01,7,108,78,0.7222,2035545.77,1.197
2025-10-01,2026-06-01,8,108,76,0.7037,1834405.1,1.0787
2025-10-01,2026-07-01,9,108,75,0.6944,1870319.82,1.0998
2025-11-01,2025-11-01,0,123,123,1.0,2281294.93,1.0
2025-11-01,2025-12-01,1,123,119,0.9675,2458233.75,1.0776
2025-11-01,2026-01-01,2,123,108,0.878,2430140.33,1.0652
2025-11-01,2026-02-01,3,123,92,0.748,2560517.21,1.1224
2025-11-01,2026-03-01,4,123,89,0.7236,3132649.59,1.3732
2025-11-01,2026-04-01,5,123,89,0.7236,2833903.16,1.2422
2025-11-01,2026-05-01,6,123,88,0.7154,2801188.39,1.2279
2025-11-01,2026-06-01,7,123,89,0.7236,2631249.62,1.1534
2025-11-01,2026-07-01,8,123,90,0.7317,2677728.58,1.1738
2025-12-01,2025-12-01,0,108,108,1.0,1672626.24,1.0
2025-12-01,2026-01-01,1,108,99,0.9167,1734425.71,1.0369
2025-12-01,2026-02-01,2,108,90,0.8333,1982637.98,1.1853
2025-12-01,2026-03-01,3,108,86,0.7963,2525053.64,1.5096
2025-12-01,2026-04-01,4,108,81,0.75,2555892.92,1.5281
2025-12-01,2026-05-01,5,108,77,0.713,2540410.73,1.5188
2025-12-01,2026-06-01,6,108,77,0.713,2311208.82,1.3818
2025-12-01,2026-07-01,7,108,76,0.7037,2272778.31,1.3588
2026-01-01,2026-01-01,0,143,143,1.0,1792909.97,1.0
2026-01-01,2026-02-01,1,143,126,0.8811,1656653.55,0.924
2026-01-01,2026-03-01,2,143,120,0.8392,2106328.98,1.1748
2026-01-01,2026-04-01,3,143,111,0.7762,2250590.26,1.2553
2026-01-01,2026-05-01,4,143,105,0.7343,2479295.24,1.3828
2026-01-01,2026-06-01,5,143,108,0.7552,2386890.27,1.3313
2026-01-01,2026-07-01,6,143,105,0.7343,2208903.05,1.232
2026-02-01,2026-02-01,0,126,126,1.0,1486925.51,1.0
2026-02-01,2026-03-01,1,126,122,0.9683,2081483.66,1.3999
2026-02-01,2026-04-01,2,126,117,0.9286,2276429.18,1.531
2026-02-01,2026-05-01,3,126,100,0.7937,2373123.76,1.596
2026-02-01,2026-06-01,4,126,99,0.7857,2395337.18,1.6109
2026-02-01,2026-07-01,5,126,95,0.754,2334699.76,1.5702
2026-03-01,2026-03-01,0,108,108,1.0,2010481.6,1.0
2026-03-01,2026-04-01,1,108,104,0.963,2098605.92,1.0438
2026-03-01,2026-05-01,2,108,98,0.9074,2306495.37,1.1472
2026-03-01,2026-06-01,3,108,97,0.8981,2481269.79,1.2342
2026-03-01,2026-07-01,4,108,93,0.8611,2539437.18,1.2631
2026-04-01,2026-04-01,0,109,109,1.0,1237544.33,1.0
2026-04-01,2026-05-01,1,109,103,0.945,1459295.79,1.1792
2026-04-01,2026-06-01,2,109,96,0.8807,1509229.12,1.2195
2026-04-01,2026-07-01,3,109,86,0.789,1557578.93,1.2586
2026-05-01,2026-05-01,0,120,120,1.0,1879842.68,1.0
2026-05-01,2026-06-01,1,120,115,0.9583,2098195.5,1.1162
2026-05-01,2026-07-01,2,120,110,0.9167,2364103.6,1.2576
2026-06-01,2026-06-01,0,3,3,1.0,7294.63,1.0
2026-06-01,2026-07-01,1,3,3,1.0,23047.97,3.1596
2026-07-01,2026-07-01,0,2,2,1.0,6911.72,1.0
